STATE,YEAR,MONTH,DAY,GLOBAL_COUNT,ENV_COUNT
MK,2015,5,25,50,
MK,2015,8,31,101,4
MK,2015,9,13,5,
MK,2015,9,14,80,3
MK,2015,11,15,120,
MK,2015,12,5,102,7
MK,2016,12,4,113,
MK,2017,4,19,116,
MK,2017,5,8,50,
MO,2015,4,22,101,6
MO,2015,12,29,100,
MO,2017,7,30,98,
MO,2017,8,2,63,4
MP,2017,9,28,41,
MT,2015,2,28,505,5
MT,2016,1,15,311,2
MT,2016,5,7,240,26
MT,2016,5,30,470,13
MU,2015,4,23,417,16
MU,2015,7,16,52,1
MU,2015,9,23,101,
MU,2015,12,28,333,42
MV,2017,1,24,78,
MV,2017,3,29,12,
MX,2015,7,13,180,
MX,2016,8,18,108,
MX,2016,12,11,98,
MX,2017,6,18,28,
MY,2015,6,12,3799,123
MY,2016,2,14,3924,83
MY,2016,6,23,5655,170
MY,2016,12,19,4910,54
MY,2017,7,24,4860,153
MY,2017,8,26,2825,201
MZ,2016,5,24,74,
NH,2016,5,7,12,
NH,2016,7,28,39,9
NH,2016,8,16,34,
NH,2016,12,4,3,
NI,2016,4,13,14998,205
NI,2016,9,11,8583,126
NL,2015,9,19,174,19
NL,2017,2,28,190,2
NL,2017,5,4,269,3
NO,2015,9,6,89,
NO,2017,7,26,53,3
NP,2015,2,21,448,26
NP,2015,8,3,872,55
NP,2017,8,31,381,15
NS,2016,9,8,1,
NS,2017,2,3,3,
NU,2016,6,4,5,5
NZ,2015,6,14,2209,117
NZ,2015,7,30,4501,150
NZ,2015,10,27,3993,81
NZ,2016,1,1,1321,49
NZ,2016,6,14,3292,26
NZ,2016,6,25,1769,82
NZ,2016,8,2,2704,94
NZ,2016,11,10,2952,69
NZ,2016,12,10,1512,32
NZ,2016,12,24,1099,2
NZ,2017,9,27,2151,57
NZ,2017,10,28,1278,24
NZ,2017,10,30,2548,81
OD,2015,11,5,94,
OD,2016,3,7,162,
OD,2016,4,27,219,7
OD,2016,11,30,101,
OD,2017,3,10,138,
OD,2017,3,15,118,
PA,2015,10,2,2,
PE,2015,2,27,2537,
PE,2016,9,18,2,
PE,2017,2,10,43,
PK,2016,3,31,7860,57
PK,2017,9,7,5261,317
PK,2017,10,31,5234,102
PL,2015,4,26,7,
PL,2015,5,22,92,
PL,2015,8,7,156,
PL,2016,5,30,173,
PL,2017,3,7,370,27
PL,2017,5,26,333,
PL,2017,6,19,165,
PM,2015,12,30,66,
PM,2016,11,14,12,
PM,2016,12,31,3,
PO,2015,3,5,5,
PO,2016,1,9,11,
PO,2016,2,4,9,
PO,2016,3,31,3,
PO,2016,5,22,25,
PO,2016,8,8,78,1
PO,2017,3,7,27,
PP,2015,4,14,5,
PP,2015,4,23,2,
PP,2015,7,21,52,
PP,2016,10,6,91,42
PP,2016,10,27,101,6
PP,2016,11,9,134,
PP,2017,4,12,61,3
PP,2017,7,7,83,
PP,2017,11,7,237,38
QA,2015,3,17,1772,30
QA,2015,11,1,2687,63
QA,2017,4,7,962,5
QA,2017,8,12,939,12
QA,2017,8,31,949,51
QA,2017,9,26,1221,91
RB,2015,3,8,1,
RB,2016,6,17,152,12
RB,2017,8,24,20,6
RI,2015,8,13,166,
RI,2015,10,4,54,
RI,2016,7,4,293,
RI,2017,2,19,12,
RI,2017,4,7,160,
RO,2015,8,30,113,
RO,2016,5,27,210,9
RP,2015,10,10,4774,46
RP,2016,4,26,9567,233
RP,2016,5,28,7307,96
RP,2016,9,13,10096,289
RS,2015,4,7,9850,4139
RS,2015,5,22,8350,3280
RS,2015,5,24,3278,1863
RS,2016,7,15,9045,2353
RS,2016,10,26,8896,2962
RS,2017,4,6,6950,2330
RW,2015,6,25,314,4
RW,2015,11,10,230,8
RW,2015,12,20,166,4
RW,2016,5,16,219,
RW,2016,7,16,235,
RW,2016,12,17,102,
RW,2017,2,28,167,
RW,2017,3,30,66,
SA,2015,3,24,1114,28
SA,2016,5,6,766,39
SA,2017,6,30,1184,11
SA,2017,8,23,1417,29
SA,2017,9,8,960,93
SA,2017,11,14,1466,77
SE,2015,3,27,64,
SE,2016,1,3,5,
SE,2016,6,1,14,
SE,2016,9,4,23,
SE,2016,9,11,53,8
SE,2016,12,19,12,
SE,2017,7,24,21,
SF,2015,12,7,5095,296
SF,2015,12,21,3161,68
SF,2016,7,21,10280,283
SF,2016,10,29,2743,120
SF,2017,9,5,6557,242
SF,2017,10,5,5808,258
SF,2017,11,1,6281,256
SI,2015,3,25,13,
SI,2016,5,22,23,
SI,2017,3,8,34,
SI,2017,5,23,137,
SL,2015,3,11,213,10
SL,2015,8,7,252,
SL,2016,2,3,91,6
SL,2016,9,4,2405,46
SL,2016,11,7,118,
SL,2016,12,12,358,2
SL,2017,3,16,309,
SN,2015,11,10,3087,41
SN,2015,11,12,2513,72
SN,2016,6,21,1692,47
SN,2017,3,8,1731,55
SO,2015,5,14,372,
SO,2016,2,10,985,1
SO,2016,8,28,454,
SO,2016,9,1,612,
SO,2017,5,21,269,
SP,2016,6,29,438,4
SP,2016,9,27,444,5
SP,2017,1,4,295,11
SP,2017,3,24,348,13
ST,2016,3,18,25,
ST,2016,6,11,95,
SU,2015,9,18,598,16
SU,2016,4,22,217,
SU,2016,6,5,374,8
SU,2016,11,3,272,
SW,2015,10,18,133,
SW,2016,1,11,181,2
SW,2016,5,25,156,
SW,2016,6,21,242,
SW,2016,12,13,131,
SX,2016,1,19,15,
SX,2016,3,17,12,
SX,2016,6,14,5,
SX,2017,4,17,2,
SY,2015,8,16,1873,24
SY,2015,11,18,3920,18
SY,2017,4,8,3306,24
SZ,2015,5,21,617,9
SZ,2015,6,13,510,
SZ,2015,10,8,923,10
SZ,2015,11,12,875,32
SZ,2016,8,17,744,11
SZ,2017,2,18,264,
TD,2015,5,5,214,2
TD,2015,5,24,344,8
TD,2015,12,6,196,3
TD,2016,2,16,368,
TD,2016,5,6,451,6
TD,2016,11,10,632,19
