Day,Month,Year,Actor,Count
30,8,2017,ed gonzalez,731
30,8,2017,marcus mclellan,731
26,12,2015,greg flynn,730
21,5,2015,joyce dudley,730
8,10,2017,greg flynn,730
4,9,2016,superstorm sandy,730
28,8,2017,sarah huckabee sanders,730
23,10,2017,donald trump,729
15,3,2015,baldwin lonsdale,729
5,10,2015,gary watts,729
10,10,2016,hillary clinton,729
23,1,2016,jennifer bremer,728
13,10,2016,michael dunkley,727
26,12,2015,jason holmes,727
1,4,2015,j paul getty,727
2,9,2016,pat mccrory,727
4,10,2016,dennis feltgen,726
27,8,2017,jeff lindner,726
28,8,2017,samuel pena,726
5,10,2015,barack obama,726
28,5,2016,john brieden,726
4,10,2015,el faro,726
23,1,2017,santa barbara,726
3,9,2016,larry hogan,726
27,4,2016,george eischen,726
10,12,2015,john kerry,725
20,7,2015,joe sirard,725
21,5,2015,melinda greene,724
4,5,2016,darby allen,723
24,6,2015,santa barbara,723
4,10,2015,atlantic ocean,722
4,10,2015,barack obama,721
26,5,2015,craig doyal,720
6,1,2016,el nino,719
26,12,2015,barbara perkins,718
26,10,2015,vineet gahlot,717
8,9,2017,enrique pena nieto,717
30,5,2015,dianne feinstein,717
30,8,2017,ed emmett,717
3,10,2016,jocelerme privert,716
17,11,2015,el nino,716
5,6,2015,lori hodges,716
24,7,2016,nathan judy,715
26,5,2015,pena nieto,715
12,10,2016,pat mccrory,715
6,1,2017,roy cooper,715
3,6,2016,francois hollande,715
7,10,2016,jeff dickey,715
29,5,2016,atlantic ocean,714
23,1,2016,paul kocin,713
2,9,2017,sylvester turner,713
12,5,2017,donald trump,713
14,9,2015,dave schmitt,713
12,9,2017,charles saxon,713
28,10,2016,kyle kirchmeier,712
10,10,2017,daron wyatt,712
1,10,2015,chris gosling,712
26,9,2017,donald trump,711
21,9,2015,daniel berlant,711
26,10,2015,mohammad bilal,710
24,10,2015,susanna sokol,710
3,9,2016,matt skinner,710
6,10,2017,donald trump,710
19,8,2016,los angeles,709
4,6,2015,billy anaglate,708
26,6,2015,los angeles,708
6,10,2016,jackie schutz,708
8,5,2015,kelly ruffin,707
22,5,2015,jennifer williams,707
21,1,2017,donald trump,707
26,8,2017,michael graczyk,707
2,5,2015,minendra rijal,707
13,5,2015,prem lal lamichane,707
8,9,2017,seth borenstein,706
24,10,2015,tom sokol,706
24,1,2017,los angeles,706
23,1,2017,michael fowler,706
5,4,2017,robert bentley,705
23,6,2015,joe schroeder,705
30,10,2016,pope francis,705
13,11,2017,abdul-karim abdullah taqi,705
25,8,2016,matteo renzi,704
1,8,2016,larry hogan,704
26,4,2015,tim sullivan,704
23,6,2016,abu dhabi,703
26,4,2015,edmund hillary,702
5,6,2015,pacific ocean,702
26,6,2016,ray pruitt,700
8,10,2016,superstorm sandy,700
30,4,2017,rebecca berkley,700
11,9,2017,carl roberts,700
21,7,2015,jerry brown,699
1,6,2017,dmitry peskov,698
5,12,2016,kevin cramer,698
24,4,2015,john lowe,698
12,12,2015,barack obama,698
6,12,2016,donald trump,698
17,5,2017,danny ringer,697
5,12,2016,wes clark jr,697
24,1,2016,alex brandon,697
6,10,2016,hillary clinton,697
15,8,2016,doug pittman,696
6,9,2017,midcie francis,696
22,1,2017,tim purvis,696
30,8,2017,steve perez,696
17,9,2015,michelle bachelet,695
20,9,2015,daniel berlant,695
4,8,2015,barack obama,695
10,9,2017,edouard philippe,695
7,9,2017,nathan deal,694
8,9,2017,richard branson,693
20,7,2015,terri kasinga,693
12,12,2015,ben strauss,693
8,2,2017,barack obama,693
26,6,2016,donny youngblood,692
9,9,2017,pena nieto,692
24,1,2017,barack obama,692
26,5,2015,evaristo perez rivera,691
2,12,2016,mike werner,691
8,9,2017,bryan norcross,691
13,9,2015,mark twain,691
16,2,2016,ali al-naimi,690
10,9,2017,lady ann scott,690
31,3,2016,amy jankowski,690
6,1,2016,los angeles,690
17,4,2016,shinzo abe,690
5,10,2016,francois anick joseph,690
2,5,2015,binaj gurubacharya,456
1,12,2016,greg miller,456
11,9,2017,christophe castaner,456
10,5,2016,dana lance,456
23,8,2015,suzanne flory,456
24,1,2016,chris christie,456
9,6,2016,donald trump,456
15,10,2016,erik solheim,455
16,10,2017,daniel berlant,455
2,12,2016,cindy cameron ogle,455
10,9,2017,melania trump,455
18,8,2016,barack obama,455
20,2,2016,voreqe bainimarama,455
29,7,2016,robert reagan,455
28,8,2017,ted cruz,455
28,8,2017,bryan mcleod,455
29,5,2016,scott brown,455
7,10,2015,barack obama,454
23,6,2015,debra burla,454
8,9,2017,anika kentish,454
27,5,2015,el nino,454
21,11,2016,barack obama,454
19,3,2015,barack obama,454
23,5,2015,christine fiorello,454
6,10,2016,mourad wahba,454
22,6,2017,stephen arthur,454
22,3,2017,donald trump,454
27,8,2015,rick isaacson,454
16,4,2016,tatsuhiko sakata,454
31,3,2016,cynthia palmer,454
25,7,2016,juliet kinikin,453
8,9,2017,michael weissenstein,453
9,11,2015,ian reilly,453
27,5,2015,sandra swinney,453
2,10,2015,rick knabb,453
4,6,2016,matt lehner,453
10,10,2017,barry biermann,453
29,12,2015,jamie stengle,453
28,8,2017,jason spencer,453
7,10,2017,kay ivey,453
26,6,2016,joe reyes,452
13,9,2017,jean lindor,452
2,8,2016,chris hoffman,452
10,9,2017,chad myers,452
27,8,2017,david bergeron,452
4,6,2015,john dramani mahama,452
17,1,2017,donald trump,452
22,8,2017,gary cohn,452
6,10,2016,loren kook,452
26,3,2015,tim talley,452
14,3,2016,harold worsham,452
2,9,2016,jeff martin,452
7,10,2015,jerry brown,451
27,6,2017,los angeles,451
1,8,2016,elijah cummings,451
5,8,2015,jerry brown,451
23,2,2015,jim hayes,451
24,10,2015,jesse moore,451
9,11,2015,michel jarraud,451
2,10,2016,ben fox,450
17,2,2016,bijan zanganeh,450
13,9,2017,scooter braun,450
26,8,2017,jeff lindner,450
8,9,2017,samuel petrequin,450
8,9,2017,ezequiel lopez abiu,450
18,8,2016,pacific ocean,450
11,9,2017,erik burton,450
10,10,2016,jack jones,450
2,9,2016,freida frisaro,450
2,9,2016,gary fineout,450
2,9,2016,curt anderson,450
3,1,2017,robert bentley,450
8,5,2015,john hart,449
20,11,2016,donald trump,449
3,7,2015,bob dudley,449
11,5,2015,matt staley,449
4,12,2015,laurent fabius,449
16,10,2017,janie har,449
21,2,2017,donald trump,449
23,10,2017,rose martin,449
6,4,2016,don blankenship,449
14,3,2017,sarah johnson,449
6,10,2016,jack jones,449
2,6,2017,al gore,449
22,6,2017,john oliver,449
4,10,2017,ricardo rossello,449
5,10,2016,hillary clinton,449
25,10,2015,brian kyle,449
18,6,2015,robert stobaugh,449
26,4,2015,muneeza naqvi,449
8,11,2016,donald trump,449
4,4,2017,donald trump,449
30,8,2015,barack obama,448
26,6,2016,tim finchem,448
11,5,2015,jody gonzalez,448
16,6,2015,kurt van speybroeck,448
4,10,2016,fonie pierre,448
22,8,2017,robert murray,448
6,10,2016,meg kinnard,448
14,9,2015,michael alan patrick,448
20,3,2017,john helliwell,448
24,8,2016,ascoli picenza,448
26,8,2016,immacolata postiglione,448
7,7,2015,diane torrance,448
27,6,2016,jonathan mattise,448
19,8,2015,sara peterson,447
23,10,2017,emily shumchenia,447
22,6,2017,rupert lacy,447
5,10,2016,simone corrado,447
