SF,10,2015,29,1800
IC,1,2016,27,215
BM,10,2017,6,1814
AS,4,2015,18,20250
SZ,5,2016,31,3128
UP,6,2016,27,632
IT,10,2016,28,2094
NO,1,2017,18,450
ZI,11,2016,16,1073
SU,9,2016,15,727
NI,9,2017,25,3323
YM,6,2016,19,444
SY,8,2017,9,5584
CH,7,2017,20,5940
JA,9,2017,29,1979
CD,3,2015,4,805
VM,1,2017,15,2215
TW,6,2015,28,4286
AJ,6,2016,2,594
IR,2,2016,10,7515
EG,8,2017,9,1994
JA,3,2017,24,2561
JA,8,2015,1,1819
IN,2,2016,3,7122
AS,9,2017,20,8421
ER,12,2015,7,1626
JA,5,2015,5,1365
AS,3,2015,20,18063
SZ,3,2016,29,831
AS,5,2015,12,10478
RM,1,2016,17,14
DJ,1,2017,19,111
JM,6,2015,5,320
EI,3,2017,7,1880
SU,9,2017,25,1457
MX,10,2015,7,1697
LO,1,2016,16,59
BR,12,2016,20,926
SZ,4,2016,6,993
KN,4,2017,2,898
GA,6,2016,10,785
FR,3,2017,8,4558
BP,8,2017,31,270
SU,3,2015,22,1187
SZ,7,2017,17,659
CF,6,2015,12,476
CH,8,2016,7,2746
ES,1,2017,8,386
HK,1,2016,8,230
GQ,1,2016,11,560
BG,3,2016,12,652
CU,7,2016,24,162
ET,10,2015,29,574
CU,12,2016,27,1271
ZA,3,2015,25,354
VE,9,2017,21,601
IZ,5,2017,6,1266
NI,10,2015,9,3927
NO,3,2015,14,221
GH,7,2017,14,763
GA,1,2017,29,355
BP,3,2015,15,383
BN,8,2015,16,42
SP,5,2016,31,1598
WE,5,2016,15,778
BG,1,2017,11,1308
SF,10,2016,26,2527
MO,4,2015,6,636
WE,11,2016,10,749
ZI,11,2016,18,489
SF,8,2015,10,1638
FI,4,2017,11,497
UZ,8,2016,28,319
NZ,10,2015,20,848
AF,3,2015,3,3550
CU,10,2015,8,820
EC,5,2015,30,63
QA,3,2016,31,890
CY,3,2016,8,482
AF,3,2016,22,2488
AM,9,2017,29,123
CO,6,2015,2,271
,7,2015,10,159415
,7,2017,6,128018
,4,2016,29,150539
,10,2017,19,136753
,9,2017,18,129434
,9,2016,5,115848
,4,2016,2,89323
,12,2016,25,54846
US,8,2017,1,113623
GR,9,2016,28,1067
TZ,5,2016,14,131
SW,4,2017,8,31656
IS,3,2016,21,12800
MU,5,2017,27,80
LY,6,2015,26,5079
CO,11,2015,4,469
IN,2,2017,15,5981
LY,9,2016,14,4303
IN,2,2017,25,5960
IN,11,2016,12,4866
PK,3,2015,5,2767
AF,6,2016,14,9360
IR,3,2015,26,18261
NI,5,2015,26,4586
NI,4,2015,26,2942
NZ,11,2015,9,2364
TH,7,2015,2,959
GR,8,2016,16,1278
VE,10,2016,8,355
KU,4,2016,30,150
TH,3,2015,19,1361
AS,2,2016,27,8239
RQ,9,2015,15,74
KS,7,2015,29,892
IR,2,2016,12,7980
IN,9,2016,7,9489
UG,2,2016,23,811
IZ,5,2017,12,1995
BE,6,2016,22,1458
EC,7,2017,1,51
CA,7,2016,11,5895
SL,9,2016,1,61
AE,9,2016,23,987
SW,4,2017,19,318
PO,8,2015,3,117
SO,9,2017,14,1133
JO,2,2017,9,511
LY,11,2015,20,1413
RQ,11,2017,1,1432
IT,9,2016,27,2543
MX,11,2015,24,5035
SL,5,2016,26,228
AL,7,2016,21,198
PK,4,2016,23,2076
NL,3,2016,14,1116
GH,12,2016,15,611
TH,9,2016,2,774
SO,6,2016,2,10511
KS,3,2017,20,2614
NL,12,2015,18,1408
UP,4,2016,12,768
PE,2,2016,22,1339
SY,7,2015,9,6687
ID,1,2017,24,2216
GH,11,2015,11,1431
RQ,12,2015,16,211
IM,10,2017,13,332
LH,12,2016,3,333
CM,8,2015,29,129
PK,4,2016,16,2250
KZ,6,2017,13,278
RI,8,2016,6,129
EZ,11,2017,6,114
KN,10,2015,16,759
