Count,Actor
12946,john oliver
12926,patrick leahy
12917,forest whitaker
12908,bobby brown
12908,wood mackenzie
12894,john antczak
12872,stephen poloz
12853,don blankenship
12819,sherrod brown
12808,jay weatherill
12793,roosevelt skerrit
12788,amy adams
12775,temple mount
12750,notre dame
12731,andrew harnik
12664,wikimedia commons
12648,sergei shoigu
12646,eric greitens
12643,sushil koirala
12636,steve king
12630,james dalgleish
12614,kelcy warren
12613,scarlett johansson
12611,mary fallin
12600,amy schumer
12591,adam schreck
12589,jennifer kay
12585,john adams
12573,ken pimlott
12573,janie har
12542,edith m lederer
12540,stephen bannon
12534,claire mccaskill
12531,felicity jones
12525,enda kenny
12512,clint eastwood
12511,steve warren
12496,stephen miller
12493,sandra maler
12469,robin hood
12465,kim jong nam
12441,john lennon
12421,south-east asia
12399,sonny cox
12390,arabia king salman
12383,rupert murdoch
12380,gary fineout
12370,emma stone
12364,bill nelson
12347,yoweri museveni
12339,george strait
12332,clive palmer
12308,igor sechin
12303,ice cube
12292,james madison
12276,nick zieminski
12271,alan jones
12252,andrew chan
12236,gaston browne
12208,kevin cramer
12204,chris bowen
12198,claire galofaro
12174,mel gibson
12174,james cameron
12167,david petraeus
12150,charlize theron
12123,frank sinatra
12100,teddy roosevelt
12098,ed royce
12097,andrew taylor
12079,christopher weber
12060,jeff merkley
12049,mikhail gorbachev
12030,lavoy finicum
12011,syed farook
11999,tom steyer
11997,britney spears
11994,travis kalanick
11970,francisco sanchez
11964,olga r rodriguez
11931,tom bossert
11925,joshua goodman
11924,maria cantwell
11924,michael mann
11923,dale hudson
11910,steve smith
11896,shivraj singh chouhan
11890,bashar jaafari
11873,john kennedy
11869,charles darwin
11860,frank jordans
11842,yang jiechi
11839,debbie stabenow
11832,michael hewson
11806,freida frisaro
11802,kathleen kane
11762,harry s truman
11740,bruce smith
11727,mark ruffalo
11717,kenneth mapp
11697,dwight eisenhower
11697,alec baldwin
11689,david gregorio
11672,colin powell
11664,brian mcnoldy
11637,myuran sukumaran
11633,meg kinnard
11632,sonny perdue
11611,tayyip erdo
11600,bill walker
11589,dwayne johnson
11588,muammar gaddafi
11586,sdn bhd
11557,patrick dehaan
11547,jamey keaten
11543,mustafa akinci
11536,orrin hatch
11532,shane oliver
11531,jeff lindner
11524,chrystia freeland
11495,el ninos
11492,pierre trudeau
11449,carl icahn
11449,colin barnett
11445,russ bynum
11434,jamie stengle
11399,edward jones
11398,steve mnuchin
11393,khalifa haftar
11392,erna solberg
11380,richard blumenthal
11347,kendall jenner
11342,ma ying-jeou
11340,jessica gresko
11336,bobbi kristina
11336,george orwell
11311,burj khalifa
11298,martha mcnicholas
11294,fukushima dai-ichi
11272,greg flynn
11263,marilyn monroe
11259,glenn stevens
11257,casey affleck
11250,mathias cormann
11245,gladys berejiklian
11243,steve bullock
11217,bangko sentral
11216,phil klotzbach
11206,david duke
11204,m venkaiah naidu
11203,jason miller
11202,ricardo rossell
11201,jacob lew
11198,salah abdeslam
11195,steffen seibert
11177,bukola saraki
11177,darren wilson
11173,david goldman
11154,richard spencer
11153,peter cooney
11141,larry king
11139,jennifer lawrence
11137,george lucas
11122,jason dearen
11110,ben bernanke
11103,clarence thomas
11088,chris weston
11076,nirmala sitharaman
11063,facebook linkedin
11045,jack ma
11027,binaj gurubacharya
11021,ralph goodale
10996,ryan reynolds
10973,mahatma gandhi
10964,matthew mcconaughey
10939,lamar alexander
10918,j scott applewhite
10917,chizu nomiyama
10915,mossack fonseca
10896,ed emmett
10895,dwight d eisenhower
10805,mark zandi
10804,jack jones
10787,ben affleck
10779,ros russell
10768,heather nauert
10762,mark warner
10755,leslie adler
10715,bob casey
10705,viktor yanukovych
10704,fatih birol
10696,sally yates
10692,jeff duncan
10689,glenn beck
10655,lisa shumaker
10649,gwyneth paltrow
10609,ellen johnson sirleaf
10595,andrew mackenzie
10594,vivian salama
10593,peter cook
10578,elaine chao
10567,bob menendez
10560,bruno mars
10554,viola davis
10548,david letterman
10533,luis felipe puente
10532,james bullard
10528,n chandrababu naidu
10518,nguyen xuan phuc
10506,igor konashenkov
10502,jabhat al-nusra
10483,ranil wickremesinghe
10480,george michael
10454,hamad al
10450,benigno aquino
10441,globaldata globaldata
10436,benjamin franklin
10436,andrew robb
10430,king george
10428,david friedman
10400,bill english
10396,calvin harris
10394,tom kloza
10388,steve jobs
10379,andrew dalton
10379,michael gove
10378,david davis
10375,craig fugate
10362,suzan fraser
10347,jim carr
10342,blake shelton
10338,laura bush
10333,susan walsh
10328,carrie underwood
10305,shelley moore capito
10303,abubakar shekau
10294,mark wahlberg
10281,tom hardy
10279,debbie reynolds
10278,charles michel
10270,yanis varoufakis
10264,jim gomez
10246,emmerson mnangagwa
10235,kevin spacey
10230,john brennan
10215,harold hamm
10205,fumio kishida
10186,david koch
10173,andreas lubitz
10159,ryan payne
10151,beaufort sea
10146,nicolas sarkozy
10145,eric meijer
10145,stephen innes
10134,toyota corolla
10113,martha bellisle
10099,klaus iohannis
10099,oluwaseun osewa
10088,satya nadella
10078,espen barth eide
10072,robert redford
10067,suresh prabhu
10067,arlene foster
10066,michael slager
10063,sean murphy
10057,madhusudan kela
10014,sheldon whitehouse
9999,nursultan nazarbayev
9978,jeff amy
9976,margaret chan
9975,kevin mcgill
9963,mick jagger
9944,louis vuitton
9940,denzel washington
9934,tom cruise
9933,durango herald
9933,dwight hammond
9931,ben blanchard
9931,john richardson
9924,francois delattre
9921,mount everest
9918,peter pan
9907,curt anderson
9893,james inhofe
9892,andy warhol
9891,david jones
9890,mark kirk
9887,cory gardner
9884,frank bajak
9876,james brown
9866,andrzej duda
9861,ellen degeneres
9860,anne hidalgo
9859,alex salmond
9850,jeff davis
9839,huma abedin
9831,nataliya vasilyeva
9825,lyndon b johnson
9824,gerald herbert
9797,nick gordon
9793,prayuth chan-ocha
9791,indira gandhi
9785,alicia a caldwell
9785,andrew torchia
9775,george stephanopoulos
9775,ruth bader ginsburg
9773,jon stewart
9771,aliso viejo
9768,eric abetz
9767,joyce marcel
9762,richard matt
9760,jonathan oatis
9756,merrit kennedy
9755,vicki granado
9755,jake gyllenhaal
9744,chris hemsworth
9744,john barrasso
9727,justice scalia
9681,abdullah abdullah
9681,james hansen
9673,jack lew
9650,walt disney
9637,george jones
9634,jo cox
9577,monica lewinsky
9569,raila odinga
9568,yuri kageyama
9561,kris kobach
9535,eric trump
9532,david clarke
9526,sam dubose
9523,gerard collomb
9521,joseph kabila
9517,devin nunes
9516,carolyn kaster
9507,federico lombardi
9505,martin scorsese
9497,patty murray
9484,sarah sanders
9477,samuel l jackson
9467,terry spencer
9454,maria zakharova
9449,jason rezaian
9448,luke bryan
9429,matthew pennington
9408,geir moulson
9397,baltic states
9395,vladimir isachenkov
9395,pierre nkurunziza
9380,sergio pirozzi
9371,corey lewandowski
9360,jim inhofe
9358,alvaro uribe
9354,mark heinrich
9352,mao zedong
9345,bijan namdar zanganeh
9331,eric holder
9309,ridley scott
9301,imran khan
9301,john bolton
9298,tim farron
9292,john wayne
9273,kevin brady
9259,alan kurdi
9235,sajid javid
9233,donald jr
9210,gina lopez
9207,anthony lynham
9191,michel martelly
9168,jennifer aniston
9165,oommen chandy
9134,philippe couillard
9134,naftali bennett
9119,stephen hawking
9117,john magufuli
9115,john mcdonnell
9113,julia roberts
9106,steve scalise
9100,anthony scaramucci
9094,naveen patnaik
9090,ernest hemingway
9087,jack conway
9086,george brandis
9075,mark potter
9068,jocelyn gecker
9060,mahathir mohamad
9043,priyanka chopra
9026,michael perry
9024,bli bli
9023,mike brown
9022,jeremy buckingham
9018,elijah cummings
9018,al sharpton
9014,pushpa kamal dahal
9011,amitabh bachchan
